Date,Price,Open,High,Low,Vol.,Change %
15/07/2021,7.7677,7.7667,7.7686,7.7661,8.63K,0.01%
14/07/2021,7.7667,7.7656,7.7681,7.7655,9.98K,0.01%
13/07/2021,7.7656,7.7667,7.7671,7.7649,9.52K,-0.01%
12/7/2021,7.7662,7.7675,7.7681,7.766,8.00K,-0.01%
9/7/2021,7.7671,7.7681,7.7689,7.766,10.91K,-0.01%
8/7/2021,7.7681,7.7682,7.7699,7.7674,12.54K,0.00%
7/7/2021,7.7681,7.7667,7.7689,7.7661,9.30K,0.02%
6/7/2021,7.7665,7.7677,7.7688,7.7661,11.45K,-0.01%
5/7/2021,7.767,7.7652,7.7691,7.7652,9.58K,0.02%
2/7/2021,7.7651,7.7656,7.7689,7.7648,12.17K,0.00%
1/7/2021,7.7654,7.7652,7.7661,7.764,8.52K,0.02%
30/06/2021,7.7641,7.7635,7.7668,7.7628,9.75K,0.01%
29/06/2021,7.7635,7.7624,7.7648,7.7617,8.81K,0.02%
28/06/2021,7.7623,7.7617,7.7632,7.7607,8.86K,0.01%
25/06/2021,7.7615,7.7635,7.7638,7.7611,8.98K,-0.02%
24/06/2021,7.7629,7.7656,7.7661,7.7628,8.95K,-0.03%
23/06/2021,7.765,7.7666,7.767,7.7647,8.66K,-0.02%
22/06/2021,7.7667,7.7649,7.767,7.7636,8.69K,0.02%
21/06/2021,7.7648,7.7628,7.7652,7.7625,9.47K,0.03%
18/06/2021,7.7627,7.7648,7.7653,7.7625,9.55K,-0.02%
17/06/2021,7.7644,7.7628,7.7656,7.7625,11.29K,0.02%
16/06/2021,7.763,7.7625,7.7635,7.7609,9.88K,0.01%
15/06/2021,7.7622,7.7615,7.7636,7.7613,9.01K,0.01%
14/06/2021,7.7616,7.7606,7.7625,7.7601,7.01K,0.01%
11/6/2021,7.7608,7.7601,7.7619,7.759,8.23K,0.01%
10/6/2021,7.7603,7.7594,7.7611,7.7593,8.60K,0.01%
9/6/2021,7.7594,7.76,7.7606,7.7582,8.21K,-0.01%
8/6/2021,7.7599,7.7592,7.7604,7.7582,8.20K,0.01%
7/6/2021,7.759,7.7574,7.7596,7.7561,7.93K,0.03%
4/6/2021,7.7563,7.7585,7.7587,7.7561,9.02K,-0.02%
3/6/2021,7.7581,7.7586,7.7596,7.7573,9.69K,0.00%
2/6/2021,7.7584,7.7592,7.76,7.7579,8.00K,-0.01%
1/6/2021,7.7589,7.761,7.7618,7.7586,10.31K,-0.02%
31/05/2021,7.7607,7.7618,7.7624,7.7599,7.79K,-0.01%
28/05/2021,7.7615,7.7604,7.7625,7.7586,11.54K,0.02%
27/05/2021,7.7602,7.7622,7.7635,7.7582,9.98K,-0.02%
26/05/2021,7.7621,7.7625,7.7633,7.7611,9.77K,0.00%
25/05/2021,7.7624,7.7649,7.7656,7.762,8.79K,-0.03%
24/05/2021,7.7646,7.7642,7.7661,7.7631,7.85K,0.01%
21/05/2021,7.7642,7.7627,7.7652,7.7619,8.10K,0.02%
20/05/2021,7.7624,7.7649,7.7656,7.7618,7.76K,-0.03%
19/05/2021,7.7645,7.7656,7.766,7.7641,5.54K,-0.01%
18/05/2021,7.7656,7.7664,7.767,7.7641,7.37K,-0.01%
17/05/2021,7.7664,7.7673,7.7682,7.766,7.14K,-0.02%
